"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY SMALLCAP 250","31 Dec 2024","34.39","4.1",".87"
"NIFTY SMALLCAP 250","30 Dec 2024","33.96","4.03",".88"
"NIFTY SMALLCAP 250","27 Dec 2024","34.1","4.04",".88"
"NIFTY SMALLCAP 250","26 Dec 2024","34.01","4.03",".88"
"NIFTY SMALLCAP 250","24 Dec 2024","34.02","4.03",".88"
"NIFTY SMALLCAP 250","23 Dec 2024","33.92","4.11",".88"
"NIFTY SMALLCAP 250","20 Dec 2024","34.06","4.13",".88"
"NIFTY SMALLCAP 250","19 Dec 2024","34.76","4.21",".86"
"NIFTY SMALLCAP 250","18 Dec 2024","34.88","4.22",".86"
"NIFTY SMALLCAP 250","17 Dec 2024","35.12","4.25",".85"
"NIFTY SMALLCAP 250","16 Dec 2024","35.31","4.28",".85"
"NIFTY SMALLCAP 250","13 Dec 2024","35.16","4.26",".85"
"NIFTY SMALLCAP 250","12 Dec 2024","35.29","4.27",".85"
"NIFTY SMALLCAP 250","11 Dec 2024","35.62","4.31",".84"
"NIFTY SMALLCAP 250","10 Dec 2024","35.52","4.3",".85"
"NIFTY SMALLCAP 250","09 Dec 2024","35.42","4.29",".85"
"NIFTY SMALLCAP 250","06 Dec 2024","35.29","4.27",".85"
"NIFTY SMALLCAP 250","05 Dec 2024","35.1","4.25",".86"
"NIFTY SMALLCAP 250","04 Dec 2024","34.93","4.23",".86"
"NIFTY SMALLCAP 250","03 Dec 2024","34.67","4.2",".86"
"NIFTY SMALLCAP 250","02 Dec 2024","34.34","4.16",".87"
"NIFTY SMALLCAP 250","29 Nov 2024","34.11","4.13",".88"
"NIFTY SMALLCAP 250","28 Nov 2024","33.8","4.09",".87"
"NIFTY SMALLCAP 250","27 Nov 2024","33.75","4.15",".87"
"NIFTY SMALLCAP 250","26 Nov 2024","33.41","4.16",".87"
"NIFTY SMALLCAP 250","25 Nov 2024","33.2","4.13",".88"
"NIFTY SMALLCAP 250","22 Nov 2024","32.52","4.05",".9"
"NIFTY SMALLCAP 250","21 Nov 2024","32.15","4.01",".91"
"NIFTY SMALLCAP 250","19 Nov 2024","30.49","4.03",".92"
"NIFTY SMALLCAP 250","18 Nov 2024","30.54","3.99",".91"
"NIFTY SMALLCAP 250","14 Nov 2024","30.85","4.02",".91"
"NIFTY SMALLCAP 250","13 Nov 2024","30.62","3.99",".91"
"NIFTY SMALLCAP 250","12 Nov 2024","31.47","4.11",".88"
"NIFTY SMALLCAP 250","11 Nov 2024","31.82","4.17",".87"
"NIFTY SMALLCAP 250","08 Nov 2024","32.14","4.22",".87"
"NIFTY SMALLCAP 250","07 Nov 2024","32.64","4.29",".85"
"NIFTY SMALLCAP 250","06 Nov 2024","32.81","4.31",".84"
"NIFTY SMALLCAP 250","05 Nov 2024","32.19","4.23",".85"
"NIFTY SMALLCAP 250","04 Nov 2024","32.03","4.21",".86"
"NIFTY SMALLCAP 250","01 Nov 2024","32.71","4.29",".84"
"NIFTY SMALLCAP 250","31 Oct 2024","32.37","4.25",".86"
"NIFTY SMALLCAP 250","30 Oct 2024","32.13","4.18",".87"
"NIFTY SMALLCAP 250","29 Oct 2024","31.75","4.13",".88"
"NIFTY SMALLCAP 250","28 Oct 2024","31.58","4.1",".89"
"NIFTY SMALLCAP 250","25 Oct 2024","31.01","4.06",".9"
"NIFTY SMALLCAP 250","24 Oct 2024","31.72","4.15",".88"
"NIFTY SMALLCAP 250","23 Oct 2024","31.65","4.18",".87"
"NIFTY SMALLCAP 250","22 Oct 2024","31.37","4.13",".88"
"NIFTY SMALLCAP 250","21 Oct 2024","32.79","4.29",".85"
"NIFTY SMALLCAP 250","18 Oct 2024","33.37","4.36",".84"
"NIFTY SMALLCAP 250","17 Oct 2024","33.39","4.36",".84"
"NIFTY SMALLCAP 250","16 Oct 2024","33.85","4.43",".83"
"NIFTY SMALLCAP 250","15 Oct 2024","33.77","4.4",".83"
"NIFTY SMALLCAP 250","14 Oct 2024","33.4","4.35",".84"
"NIFTY SMALLCAP 250","11 Oct 2024","33.3","4.34",".84"
"NIFTY SMALLCAP 250","10 Oct 2024","33.15","4.32",".85"
"NIFTY SMALLCAP 250","09 Oct 2024","32.93","4.25",".85"
"NIFTY SMALLCAP 250","08 Oct 2024","32.53","4.2",".86"
"NIFTY SMALLCAP 250","07 Oct 2024","31.86","4.11",".88"
"NIFTY SMALLCAP 250","04 Oct 2024","32.78","4.23",".85"
"NIFTY SMALLCAP 250","03 Oct 2024","33.07","4.27",".84"
"NIFTY SMALLCAP 250","01 Oct 2024","33.71","4.35",".83"
"NIFTY SMALLCAP 250","30 Sep 2024","33.49","4.32",".83"
"NIFTY SMALLCAP 250","27 Sep 2024","31.76","4.25",".84"
"NIFTY SMALLCAP 250","26 Sep 2024","31.82","4.26",".84"
"NIFTY SMALLCAP 250","25 Sep 2024","31.97","4.28",".83"
"NIFTY SMALLCAP 250","24 Sep 2024","32.08","4.29",".83"
"NIFTY SMALLCAP 250","23 Sep 2024","32.15","4.3",".83"
"NIFTY SMALLCAP 250","20 Sep 2024","31.91","4.27",".84"
"NIFTY SMALLCAP 250","19 Sep 2024","31.58","4.24",".83"
"NIFTY SMALLCAP 250","18 Sep 2024","31.94","4.28",".81"
"NIFTY SMALLCAP 250","17 Sep 2024","32.05","4.3",".83"
"NIFTY SMALLCAP 250","16 Sep 2024","32.27","4.32",".82"
"NIFTY SMALLCAP 250","13 Sep 2024","32.22","4.32",".83"
"NIFTY SMALLCAP 250","12 Sep 2024","31.94","4.31",".83"
"NIFTY SMALLCAP 250","11 Sep 2024","31.69","4.36",".84"
"NIFTY SMALLCAP 250","10 Sep 2024","31.94","4.52",".83"
"NIFTY SMALLCAP 250","09 Sep 2024","31.55","4.57",".84"
"NIFTY SMALLCAP 250","06 Sep 2024","31.81","4.61",".85"
"NIFTY SMALLCAP 250","05 Sep 2024","32.14","4.66",".82"
"NIFTY SMALLCAP 250","04 Sep 2024","31.84","4.61",".82"
"NIFTY SMALLCAP 250","03 Sep 2024","31.74","4.6",".82"
"NIFTY SMALLCAP 250","02 Sep 2024","31.55","4.57",".83"
"NIFTY SMALLCAP 250","30 Aug 2024","31.58","4.57",".84"
