"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY TOTAL MARKET","01 Jan 2026","24.59","3.68","1.13"
"NIFTY TOTAL MARKET","31 Dec 2025","24.55","3.67","1.14"
"NIFTY TOTAL MARKET","30 Dec 2025","24.25","3.63","1.15"
"NIFTY TOTAL MARKET","29 Dec 2025","24.27","3.63","1.15"
"NIFTY TOTAL MARKET","26 Dec 2025","24.37","3.65","1.14"
"NIFTY TOTAL MARKET","24 Dec 2025","24.45","3.66","1.14"
"NIFTY TOTAL MARKET","23 Dec 2025","24.5","3.66","1.14"
"NIFTY TOTAL MARKET","22 Dec 2025","24.47","3.66","1.14"
"NIFTY TOTAL MARKET","19 Dec 2025","24.27","3.63","1.15"
"NIFTY TOTAL MARKET","18 Dec 2025","24.07","3.6","1.16"
"NIFTY TOTAL MARKET","17 Dec 2025","24.08","3.6","1.15"
"NIFTY TOTAL MARKET","16 Dec 2025","24.17","3.61","1.15"
"NIFTY TOTAL MARKET","15 Dec 2025","24.33","3.64","1.14"
"NIFTY TOTAL MARKET","12 Dec 2025","24.33","3.64","1.14"
"NIFTY TOTAL MARKET","11 Dec 2025","24.16","3.61","1.15"
"NIFTY TOTAL MARKET","10 Dec 2025","24.01","3.59","1.16"
"NIFTY TOTAL MARKET","09 Dec 2025","24.13","3.61","1.15"
"NIFTY TOTAL MARKET","08 Dec 2025","24.12","3.61","1.15"
"NIFTY TOTAL MARKET","05 Dec 2025","24.45","3.65","1.14"
"NIFTY TOTAL MARKET","04 Dec 2025","24.36","3.64","1.14"
"NIFTY TOTAL MARKET","03 Dec 2025","24.34","3.64","1.14"
"NIFTY TOTAL MARKET","02 Dec 2025","24.45","3.66","1.14"
"NIFTY TOTAL MARKET","01 Dec 2025","24.56","3.67","1.13"
"NIFTY TOTAL MARKET","28 Nov 2025","24.57","3.67","1.13"
"NIFTY TOTAL MARKET","27 Nov 2025","24.58","3.67","1.13"
"NIFTY TOTAL MARKET","26 Nov 2025","24.6","3.67","1.13"
"NIFTY TOTAL MARKET","25 Nov 2025","24.29","3.63","1.15"
"NIFTY TOTAL MARKET","24 Nov 2025","24.31","3.63","1.15"
"NIFTY TOTAL MARKET","21 Nov 2025","24.44","3.65","1.15"
"NIFTY TOTAL MARKET","20 Nov 2025","24.64","3.68","1.14"
"NIFTY TOTAL MARKET","19 Nov 2025","24.42","3.67","1.14"
"NIFTY TOTAL MARKET","18 Nov 2025","24.34","3.66","1.16"
"NIFTY TOTAL MARKET","17 Nov 2025","24.52","3.68","1.15"
"NIFTY TOTAL MARKET","14 Nov 2025","24.49","3.67","1.14"
"NIFTY TOTAL MARKET","13 Nov 2025","24.41","3.67","1.14"
"NIFTY TOTAL MARKET","12 Nov 2025","24.45","3.67","1.14"
"NIFTY TOTAL MARKET","11 Nov 2025","24.32","3.65","1.14"
"NIFTY TOTAL MARKET","10 Nov 2025","24.26","3.63","1.15"
"NIFTY TOTAL MARKET","07 Nov 2025","24.25","3.62","1.15"
"NIFTY TOTAL MARKET","06 Nov 2025","24.28","3.62","1.12"
"NIFTY TOTAL MARKET","04 Nov 2025","24.59","3.65","1.14"
"NIFTY TOTAL MARKET","03 Nov 2025","24.86","3.67","1.13"
